country,city,business_slice,kpi,month,monthly_value,daily_sum_in_month,weekly_sum_full_iso,weekly_sum_intersect,weekly_max,daily_max,expected_rule,comparable_across_grains,validation_basis,status,issue_note
peru,lima,Auto regular,active_drivers,2026-04-01,4417.0,33451.0,36730.0,12195.0,12195.0,1841.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
peru,lima,Auto regular,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
peru,lima,Auto regular,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Auto regular,trips_per_driver,2026-04-01,57.36268960833144,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
peru,lima,Carga,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Carga,trips_completed,2026-04-01,482.0,482.0,529.0,472.7142857142857,197.0,42.0,exact_sum,True,daily_in_month,ok,
peru,lima,Carga,avg_ticket,2026-04-01,68.20248962655602,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Carga,active_drivers,2026-04-01,60.0,290.0,321.0,112.0,112.0,20.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
peru,lima,Carga,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
peru,lima,Carga,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Carga,trips_per_driver,2026-04-01,8.033333333333333,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
peru,lima,Delivery,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Delivery,trips_completed,2026-04-01,6528.0,6528.0,7154.0,6659.428571428572,2644.0,407.0,exact_sum,True,daily_in_month,ok,
peru,lima,Delivery,avg_ticket,2026-04-01,11.424722732843136,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Delivery,active_drivers,2026-04-01,231.0,1011.0,1122.0,384.0,384.0,69.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
peru,lima,Delivery,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
peru,lima,Delivery,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
peru,lima,Delivery,trips_per_driver,2026-04-01,28.25974025974026,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
peru,lima,PRO,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
